DMSO-1	DMSO-2	RocA-003	RocA-03	RocA-3
ENST00000611582	ENST00000225174	ENST00000333775	ENST00000370828	ENST00000287996
ENST00000394963	ENST00000373812	ENST00000293217	ENST00000524230	ENST00000546495
ENST00000355295	ENST00000327578	ENST00000228251	ENST00000375755	ENST00000525071
ENST00000374395	ENST00000301310	ENST00000379651	ENST00000307301	ENST00000292782
ENST00000303775	ENST00000350777	ENST00000301335	ENST00000393119	ENST00000374271
ENST00000638914	ENST00000263433	ENST00000263881	ENST00000546495	ENST00000402551
ENST00000354650	ENST00000611582	ENST00000509756	ENST00000525071	ENST00000261783
ENST00000221494	ENST00000394963	ENST00000380009	ENST00000292782	ENST00000329608
ENST00000381431	ENST00000355295	ENST00000418310	ENST00000374271	ENST00000308278
ENST00000493763	ENST00000374395	ENST00000304979	ENST00000402551	ENST00000296257
ENST00000245206	ENST00000303775	ENST00000374168	ENST00000261783	ENST00000359930
ENST00000346178	ENST00000638914	ENST00000380394	ENST00000308278	ENST00000369583
ENST00000310054	ENST00000354650	ENST00000453514	ENST00000269195	ENST00000397066
ENST00000373943	ENST00000221494	ENST00000296509	ENST00000296257	ENST00000469044
ENST00000629999	ENST00000381431	ENST00000361354	ENST00000359930	ENST00000366932
ENST00000379341	ENST00000493763	ENST00000264156	ENST00000369583	ENST00000301454
ENST00000475243	ENST00000304189	ENST00000395091	ENST00000397066	ENST00000378372
ENST00000536769	ENST00000245206	ENST00000315588	ENST00000469044	ENST00000327171
ENST00000205061	ENST00000346178	ENST00000302182	ENST00000366932	ENST00000261889
ENST00000007390	ENST00000310054	ENST00000264896	ENST00000301454	ENST00000613647
ENST00000348335	ENST00000373943	ENST00000229340	ENST00000378372	ENST00000284006
ENST00000258243	ENST00000629999	ENST00000378536	ENST00000327171	ENST00000377648
ENST00000324464	ENST00000379341	ENST00000520777	ENST00000261889	ENST00000262210
ENST00000343796	ENST00000475243	ENST00000345716	ENST00000613647	ENST00000264634
ENST00000409088	ENST00000536769	ENST00000366758	ENST00000377648	ENST00000395334
ENST00000259569	ENST00000205061	ENST00000392481	ENST00000262210	ENST00000313117
ENST00000380155	ENST00000007390	ENST00000253692	ENST00000264634	ENST00000539966
ENST00000265970	ENST00000348335	ENST00000464873	ENST00000313117	ENST00000617979
ENST00000595661	ENST00000258243	ENST00000394023	ENST00000539966	ENST00000378823
ENST00000436636	ENST00000324464	ENST00000569430	ENST00000617979	ENST00000369709
ENST00000293883	ENST00000343796	ENST00000395064	ENST00000378823	ENST00000266987
ENST00000249356	ENST00000409088	ENST00000337620	ENST00000337532	ENST00000352393
ENST00000237281	ENST00000259569	ENST00000379987	ENST00000266987	ENST00000399120
ENST00000366997	ENST00000380155	ENST00000301057	ENST00000352393	ENST00000309451
ENST00000250124	ENST00000265970	ENST00000257347	ENST00000399120	ENST00000620260
ENST00000395003	ENST00000595661	ENST00000619269	ENST00000309451	ENST00000304478
ENST00000233055	ENST00000436636	ENST00000338343	ENST00000620260	ENST00000615648
ENST00000375897	ENST00000293883	ENST00000430889	ENST00000304478	ENST00000262554
ENST00000605895	ENST00000249356	ENST00000361297	ENST00000615648	ENST00000468317
ENST00000290399	ENST00000237281	ENST00000375847	ENST00000262554	ENST00000592173
ENST00000340648	ENST00000366997	ENST00000356994	ENST00000468317	ENST00000380317
ENST00000343818	ENST00000250124	ENST00000209875	ENST00000592173	ENST00000519676
ENST00000266682	ENST00000395003	ENST00000263918	ENST00000380317	ENST00000551018
ENST00000280551	ENST00000233055	ENST00000616640	ENST00000551018	ENST00000308317
ENST00000316334	ENST00000375897	ENST00000216797	ENST00000379660	ENST00000216181
ENST00000215790	ENST00000605895	ENST00000296575	ENST00000308317	ENST00000375883
ENST00000439696	ENST00000290399	ENST00000205402	ENST00000216181	ENST00000297375
ENST00000368607	ENST00000340648	ENST00000444881	ENST00000375883	ENST00000446533
ENST00000294064	ENST00000343818	ENST00000584436	ENST00000446533	ENST00000573600
ENST00000229955	ENST00000266682	ENST00000567744	ENST00000573600	ENST00000274008
ENST00000333775	ENST00000280551	ENST00000313349	ENST00000274008	ENST00000378279
ENST00000293217	ENST00000316334	ENST00000622451	ENST00000378279	ENST00000366645
ENST00000228251	ENST00000215790	ENST00000289153	ENST00000366645	ENST00000540797
ENST00000379651	ENST00000439696	ENST00000295802	ENST00000540797	ENST00000301587
ENST00000301335	ENST00000368607	ENST00000331710	ENST00000301587	ENST00000368884
ENST00000263881	ENST00000294064	ENST00000615950	ENST00000368884	ENST00000616552
ENST00000509756	ENST00000333775	ENST00000491415	ENST00000616552	ENST00000395878
ENST00000380009	ENST00000293217	ENST00000338625	ENST00000395878	ENST00000295890
ENST00000418310	ENST00000228251	ENST00000354475	ENST00000295890	ENST00000294964
ENST00000304979	ENST00000379651	ENST00000359786	ENST00000324109	ENST00000464171
ENST00000374168	ENST00000301335	ENST00000349155	ENST00000464171	ENST00000324109
ENST00000380394	ENST00000263881	ENST00000389063	ENST00000309311	ENST00000309311
ENST00000453514	ENST00000509756	ENST00000432126	ENST00000245932	ENST00000614302
ENST00000296509	ENST00000380009	ENST00000295886	ENST00000614302	ENST00000357559
ENST00000361354	ENST00000418310	ENST00000448276	ENST00000357559	ENST00000321027
ENST00000252338	ENST00000304979	ENST00000307076	ENST00000321027	ENST00000417314
ENST00000264156	ENST00000374168	ENST00000293349	ENST00000417314	ENST00000373358
ENST00000395091	ENST00000380394	ENST00000543610	ENST00000373358	ENST00000421967
ENST00000315588	ENST00000453514	ENST00000344595	ENST00000421967	ENST00000295872
ENST00000302182	ENST00000296509	ENST00000262133	ENST00000295872	ENST00000321990
ENST00000264896	ENST00000361354	ENST00000361193	ENST00000321990	ENST00000343253
ENST00000229340	ENST00000264156	ENST00000340253	ENST00000343253	ENST00000379177
ENST00000378536	ENST00000395091	ENST00000368911	ENST00000320248	ENST00000554698
ENST00000520777	ENST00000315588	ENST00000355300	ENST00000379177	ENST00000299157
ENST00000345716	ENST00000302182	ENST00000370495	ENST00000554698	ENST00000311921
ENST00000366758	ENST00000264896	ENST00000379982	ENST00000299157	ENST00000563281
ENST00000392481	ENST00000229340	ENST00000310473	ENST00000563281	ENST00000356613
ENST00000253692	ENST00000378536	ENST00000298229	ENST00000356613	ENST00000376033
ENST00000464873	ENST00000520777	ENST00000314328	ENST00000376033	ENST00000330062
ENST00000394023	ENST00000345716	ENST00000552029	ENST00000330062	ENST00000355387
ENST00000569430	ENST00000366758	ENST00000616852	ENST00000332118	ENST00000332118
ENST00000395064	ENST00000392481	ENST00000361198	ENST00000394904	ENST00000394904
ENST00000337620	ENST00000253692	ENST00000301744	ENST00000333213	ENST00000333213
ENST00000379987	ENST00000464873	ENST00000377482	ENST00000615331	ENST00000368006
ENST00000301057	ENST00000394023	ENST00000305533	ENST00000368006	ENST00000367590
ENST00000257347	ENST00000569430	ENST00000339142	ENST00000426972	ENST00000426972
ENST00000619269	ENST00000395064	ENST00000482804	ENST00000304743	ENST00000304743
ENST00000338343	ENST00000337620	ENST00000265080	ENST00000286091	ENST00000286091
ENST00000430889	ENST00000379987	ENST00000427908	ENST00000296088	ENST00000381854
ENST00000361297	ENST00000301057	ENST00000476977	ENST00000381854	ENST00000266483
ENST00000375847	ENST00000257347	ENST00000474627	ENST00000266483	ENST00000361283
ENST00000356994	ENST00000619269	ENST00000216294	ENST00000361283	ENST00000257604
ENST00000209875	ENST00000338343	ENST00000367808	ENST00000257604	ENST00000358215
ENST00000263918	ENST00000430889	ENST00000479013	ENST00000358215	ENST00000382758
ENST00000588212	ENST00000361297	ENST00000261461	ENST00000382758	ENST00000627656
ENST00000616640	ENST00000375847	ENST00000473414	ENST00000627656	ENST00000375541
ENST00000392328	ENST00000356994	ENST00000561482	ENST00000442998	ENST00000356924
ENST00000216797	ENST00000209875	ENST00000307750	ENST00000356924	ENST00000371996
ENST00000296575	ENST00000263918	ENST00000534548	ENST00000371996	ENST00000369682
ENST00000205402	ENST00000588212	ENST00000335025	ENST00000369682	ENST00000370823
ENST00000444881	ENST00000310842	ENST00000375370	ENST00000370823	ENST00000614558
ENST00000584436	ENST00000616640	ENST00000275227	ENST00000377698	ENST00000377698
ENST00000567744	ENST00000392328	ENST00000610726	ENST00000393218	ENST00000393218
ENST00000313349	ENST00000216797	ENST00000245543	ENST00000235345	ENST00000379561
ENST00000622451	ENST00000296575	ENST00000327619	ENST00000379561	ENST00000261647
ENST00000289153	ENST00000205402	ENST00000358755	ENST00000261647	ENST00000325144
ENST00000295802	ENST00000444881	ENST00000392627	ENST00000325144	ENST00000246069
ENST00000331710	ENST00000584436	ENST00000369893	ENST00000261439	ENST00000256257
ENST00000615950	ENST00000567744	ENST00000216962	ENST00000246069	ENST00000221431
ENST00000491415	ENST00000313349	ENST00000354947	ENST00000256257	ENST00000369026
ENST00000338625	ENST00000622451	ENST00000425042	ENST00000221431	ENST00000502486
ENST00000354475	ENST00000289153	ENST00000287461	ENST00000369026	ENST00000259365
ENST00000359786	ENST00000295802	ENST00000379568	ENST00000502486	ENST00000374680
ENST00000349155	ENST00000331710	ENST00000334976	ENST00000259365	ENST00000258742
ENST00000389063	ENST00000615950	ENST00000369660	ENST00000374680	ENST00000370895
ENST00000432126	ENST00000491415	ENST00000294428	ENST00000258742	ENST00000328747
ENST00000295886	ENST00000338625	ENST00000373758	ENST00000370895	ENST00000398063
ENST00000448276	ENST00000354475	ENST00000370828	ENST00000328747	ENST00000301458
ENST00000307076	ENST00000359786	ENST00000307301	ENST00000398063	ENST00000588649
ENST00000293349	ENST00000349155	ENST00000393119	ENST00000319394	ENST00000284878
ENST00000543610	ENST00000389063	ENST00000287996	ENST00000301458	ENST00000375249
ENST00000344595	ENST00000432126	ENST00000546495	ENST00000588649	ENST00000286298
ENST00000262133	ENST00000295886	ENST00000525071	ENST00000284878	ENST00000382743
ENST00000361193	ENST00000448276	ENST00000292782	ENST00000375249	ENST00000258530
ENST00000340253	ENST00000307076	ENST00000374271	ENST00000286298	ENST00000356341
ENST00000368911	ENST00000293349	ENST00000402551	ENST00000382743	ENST00000303904
ENST00000355300	ENST00000543610	ENST00000261783	ENST00000258530	ENST00000221264
ENST00000370495	ENST00000344595	ENST00000329608	ENST00000356341	ENST00000256255
ENST00000379982	ENST00000262133	ENST00000308278	ENST00000381668	ENST00000585696
ENST00000310473	ENST00000361193	ENST00000269195	ENST00000303904	ENST00000341460
ENST00000298229	ENST00000340253	ENST00000377687	ENST00000256255	ENST00000382466
ENST00000314328	ENST00000368911	ENST00000296257	ENST00000585696	ENST00000543648
ENST00000552029	ENST00000355300	ENST00000359930	ENST00000341460	ENST00000361961
ENST00000616852	ENST00000370495	ENST00000369583	ENST00000382466	ENST00000233099
ENST00000361198	ENST00000379982	ENST00000397066	ENST00000543648	ENST00000241052
ENST00000377482	ENST00000310473	ENST00000469044	ENST00000466284	ENST00000615182
ENST00000305533	ENST00000298229	ENST00000366932	ENST00000361961	ENST00000356709
ENST00000482804	ENST00000314328	ENST00000304698	ENST00000354981	ENST00000338910
ENST00000427908	ENST00000552029	ENST00000378372	ENST00000233099	ENST00000611132
ENST00000476977	ENST00000616852	ENST00000327171	ENST00000241052	ENST00000597436
ENST00000474627	ENST00000361198	ENST00000261889	ENST00000615182	ENST00000263579
ENST00000216294	ENST00000377482	ENST00000613647	ENST00000356709	ENST00000542965
ENST00000367808	ENST00000305533	ENST00000284006	ENST00000338910	ENST00000299335
ENST00000479013	ENST00000339142	ENST00000377648	ENST00000611132	ENST00000247956
ENST00000261461	ENST00000482804	ENST00000262210	ENST00000597436	ENST00000377710
ENST00000473414	ENST00000265080	ENST00000381318	ENST00000282111	ENST00000261509
ENST00000561482	ENST00000427908	ENST00000264634	ENST00000263579	ENST00000467728
ENST00000307750	ENST00000476977	ENST00000313117	ENST00000542965	ENST00000270142
ENST00000539851	ENST00000474627	ENST00000539966	ENST00000299335	ENST00000243903
ENST00000534548	ENST00000216294	ENST00000617979	ENST00000247956	ENST00000588258
ENST00000335025	ENST00000367808	ENST00000378823	ENST00000377710	ENST00000361099
ENST00000375370	ENST00000479013	ENST00000359591	ENST00000261509	ENST00000268482
ENST00000275227	ENST00000261461	ENST00000337532	ENST00000270142	ENST00000528416
ENST00000610726	ENST00000473414	ENST00000369709	ENST00000243903	ENST00000395053
ENST00000245543	ENST00000561482	ENST00000266987	ENST00000369244	ENST00000222305
ENST00000327619	ENST00000307750	ENST00000352393	ENST00000361099	ENST00000361717
ENST00000358755	ENST00000539851	ENST00000399120	ENST00000268482	ENST00000308488
ENST00000392627	ENST00000534548	ENST00000309451	ENST00000528416	ENST00000396634
ENST00000369893	ENST00000335025	ENST00000361361	ENST00000395053	ENST00000296503
ENST00000396576	ENST00000375370	ENST00000349223	ENST00000222305	ENST00000565898
ENST00000216962	ENST00000275227	ENST00000304478	ENST00000361717	ENST00000312423
ENST00000354947	ENST00000610726	ENST00000615648	ENST00000302327	ENST00000292450
ENST00000425042	ENST00000245543	ENST00000262554	ENST00000308488	ENST00000229769
ENST00000287461	ENST00000327619	ENST00000468317	ENST00000396634	ENST00000319349
ENST00000379568	ENST00000358755	ENST00000592173	ENST00000296503	ENST00000329687
ENST00000334976	ENST00000392627	ENST00000380317	ENST00000565898	ENST00000304061
ENST00000369660	ENST00000369893	ENST00000519676	ENST00000312423	ENST00000400900
ENST00000261205	ENST00000216962	ENST00000551018	ENST00000292450	ENST00000309660
ENST00000294428	ENST00000354947	ENST00000379660	ENST00000229769	ENST00000399409
ENST00000373758	ENST00000425042	ENST00000308317	ENST00000319349	ENST00000503039
ENST00000370828	ENST00000287461	ENST00000216181	ENST00000329687	ENST00000465139
ENST00000524230	ENST00000379568	ENST00000297375	ENST00000304061	ENST00000409817
ENST00000307301	ENST00000334976	ENST00000446533	ENST00000400900	ENST00000260746
ENST00000393119	ENST00000369660	ENST00000573600	ENST00000309660	ENST00000263593
ENST00000287996	ENST00000261205	ENST00000274008	ENST00000399409	ENST00000543662
ENST00000305031	ENST00000294428	ENST00000366645	ENST00000503039	ENST00000263960
ENST00000546495	ENST00000373758	ENST00000540797	ENST00000359600	ENST00000394854
ENST00000525071	ENST00000370828	ENST00000301587	ENST00000256413	ENST00000258884
ENST00000292782	ENST00000524230	ENST00000368884	ENST00000465139	ENST00000371485
ENST00000374271	ENST00000307301	ENST00000616552	ENST00000409817	ENST00000215659
ENST00000402551	ENST00000393119	ENST00000395878	ENST00000260746	ENST00000487273
ENST00000261783	ENST00000287996	ENST00000295890	ENST00000263593	ENST00000504329
ENST00000329608	ENST00000305031	ENST00000324109	ENST00000543662	ENST00000317506
ENST00000308278	ENST00000546495	ENST00000464171	ENST00000263960	ENST00000245680
ENST00000269195	ENST00000525071	ENST00000309311	ENST00000258884	ENST00000378426
ENST00000377687	ENST00000292782	ENST00000245932	ENST00000371485	ENST00000356264
ENST00000296257	ENST00000374271	ENST00000614302	ENST00000215659	ENST00000358677
ENST00000359930	ENST00000402551	ENST00000357559	ENST00000487273	ENST00000370092
ENST00000084798	ENST00000261783	ENST00000321027	ENST00000504329	ENST00000309951
ENST00000369583	ENST00000329608	ENST00000417314	ENST00000317506	ENST00000264039
ENST00000397066	ENST00000308278	ENST00000373358	ENST00000245680	ENST00000346234
ENST00000469044	ENST00000269195	ENST00000421967	ENST00000545985	ENST00000313368
ENST00000366932	ENST00000377687	ENST00000295872	ENST00000378426	ENST00000286733
ENST00000304698	ENST00000296257	ENST00000321990	ENST00000356264	ENST00000429344
ENST00000378372	ENST00000359930	ENST00000343253	ENST00000358677	ENST00000550735
ENST00000327171	ENST00000084798	ENST00000379177	ENST00000370092	ENST00000366661
ENST00000261889	ENST00000369583	ENST00000554698	ENST00000309951	ENST00000450136
ENST00000613647	ENST00000397066	ENST00000299157	ENST00000395386	ENST00000360066
ENST00000284006	ENST00000469044	ENST00000311921	ENST00000346234	ENST00000226319
ENST00000377648	ENST00000366932	ENST00000563281	ENST00000313368	ENST00000254654
ENST00000262210	ENST00000304698	ENST00000377636	ENST00000286733	ENST00000600932
ENST00000265085	ENST00000301454	ENST00000356613	ENST00000429344	ENST00000614411
ENST00000381318	ENST00000378372	ENST00000376033	ENST00000550735	ENST00000357137
ENST00000264634	ENST00000327171	ENST00000330062	ENST00000366661	ENST00000338492
ENST00000395334	ENST00000261889	ENST00000355387	ENST00000450136	ENST00000389682
ENST00000313117	ENST00000613647	ENST00000332118	ENST00000360066	ENST00000369466
ENST00000539966	ENST00000284006	ENST00000356198	ENST00000226319	ENST00000361682
ENST00000617979	ENST00000377648	ENST00000394904	ENST00000254654	ENST00000261749
ENST00000378823	ENST00000262210	ENST00000205214	ENST00000600932	ENST00000410111
ENST00000359591	ENST00000265085	ENST00000367607	ENST00000614411	ENST00000334554
ENST00000337532	ENST00000381318	ENST00000333213	ENST00000357137	ENST00000395759
ENST00000529750	ENST00000264634	ENST00000615331	ENST00000338492	ENST00000428216
ENST00000369709	ENST00000395334	ENST00000368006	ENST00000283351	ENST00000391857
ENST00000266987	ENST00000313117	ENST00000367590	ENST00000389682	ENST00000262990
ENST00000352393	ENST00000539966	ENST00000426972	ENST00000369466	ENST00000254900
ENST00000399120	ENST00000617979	ENST00000304743	ENST00000361682	ENST00000401558
ENST00000309451	ENST00000378823	ENST00000286091	ENST00000330175	ENST00000344989
ENST00000361361	ENST00000359591	ENST00000296088	ENST00000261749	ENST00000405858
ENST00000349223	ENST00000337532	ENST00000381854	ENST00000410111	ENST00000359428
ENST00000304478	ENST00000369709	ENST00000266483	ENST00000334554	ENST00000263556
ENST00000262554	ENST00000266987	ENST00000361283	ENST00000395759	ENST00000338379
ENST00000468317	ENST00000352393	ENST00000257604	ENST00000428216	ENST00000393674
ENST00000555818	ENST00000399120	ENST00000358215	ENST00000391857	ENST00000362065
ENST00000592173	ENST00000309451	ENST00000382758	ENST00000262990	ENST00000391973
ENST00000380317	ENST00000361361	ENST00000627656	ENST00000254900	ENST00000361582
ENST00000519676	ENST00000349223	ENST00000442998	ENST00000401558	ENST00000261455
ENST00000551018	ENST00000304478	ENST00000356924	ENST00000409900	ENST00000311181
ENST00000379660	ENST00000615648	ENST00000371996	ENST00000344989	ENST00000263239
ENST00000308317	ENST00000262554	ENST00000369682	ENST00000359428	ENST00000264249
ENST00000216181	ENST00000468317	ENST00000370823	ENST00000263556	ENST00000339697
ENST00000375883	ENST00000555818	ENST00000614558	ENST00000338379	ENST00000297056
ENST00000297375	ENST00000592173	ENST00000377698	ENST00000362065	ENST00000392521
ENST00000446533	ENST00000380317	ENST00000393218	ENST00000391973	ENST00000370733
ENST00000573600	ENST00000519676	ENST00000235345	ENST00000361582	ENST00000432079
ENST00000274008	ENST00000551018	ENST00000380502	ENST00000261455	ENST00000388913
ENST00000366645	ENST00000379660	ENST00000379561	ENST00000311181	ENST00000226798
ENST00000540797	ENST00000308317	ENST00000396056	ENST00000263239	ENST00000419119
ENST00000301587	ENST00000216181	ENST00000261647	ENST00000617275	ENST00000286688
ENST00000368884	ENST00000375883	ENST00000595618	ENST00000264249	ENST00000264158
ENST00000616552	ENST00000297375	ENST00000325144	ENST00000339697	ENST00000616577
ENST00000395878	ENST00000446533	ENST00000261439	ENST00000297056	ENST00000394334
ENST00000295890	ENST00000573600	ENST00000303531	ENST00000224756	ENST00000513458
ENST00000324109	ENST00000274008	ENST00000246069	ENST00000292853	ENST00000433529
ENST00000464171	ENST00000366645	ENST00000256257	ENST00000392521	ENST00000325351
ENST00000309311	ENST00000540797	ENST00000221431	ENST00000370733	ENST00000192788
ENST00000245932	ENST00000301587	ENST00000334304	ENST00000432079	ENST00000262584
ENST00000614302	ENST00000368884	ENST00000369026	ENST00000388913	ENST00000297532
ENST00000357559	ENST00000616552	ENST00000502486	ENST00000226798	ENST00000620786
ENST00000321027	ENST00000395878	ENST00000259365	ENST00000419119	ENST00000372621
ENST00000417314	ENST00000295890	ENST00000374680	ENST00000264158	ENST00000479950
ENST00000373358	ENST00000319332	ENST00000258742	ENST00000616577	ENST00000366933
ENST00000421967	ENST00000294964	ENST00000328747	ENST00000394334	ENST00000355937
ENST00000295872	ENST00000464171	ENST00000398063	ENST00000513458	ENST00000362063
ENST00000299977	ENST00000324109	ENST00000526629	ENST00000433529	ENST00000352251
ENST00000321990	ENST00000309311	ENST00000319394	ENST00000325351	ENST00000251775
ENST00000371079	ENST00000245932	ENST00000602063	ENST00000192788	ENST00000449291
ENST00000343253	ENST00000614302	ENST00000301458	ENST00000262584	ENST00000256474
ENST00000320248	ENST00000357559	ENST00000263642	ENST00000297532	ENST00000445922
ENST00000379177	ENST00000321027	ENST00000588649	ENST00000620786	ENST00000366913
ENST00000554698	ENST00000417314	ENST00000284878	ENST00000372621	ENST00000361464
ENST00000299157	ENST00000373358	ENST00000375249	ENST00000479950	ENST00000296121
ENST00000311921	ENST00000421967	ENST00000286298	ENST00000355937	ENST00000400556
ENST00000563281	ENST00000295872	ENST00000266534	ENST00000362063	ENST00000592502
ENST00000377636	ENST00000321990	ENST00000382743	ENST00000352251	ENST00000245787
ENST00000356613	ENST00000371079	ENST00000258530	ENST00000251775	ENST00000336735
ENST00000376033	ENST00000343253	ENST00000356341	ENST00000449291	ENST00000264451
ENST00000330062	ENST00000320248	ENST00000381668	ENST00000256474	ENST00000302345
ENST00000355387	ENST00000379177	ENST00000303904	ENST00000445922	ENST00000316149
ENST00000332118	ENST00000554698	ENST00000221264	ENST00000366913	ENST00000251636
ENST00000356198	ENST00000299157	ENST00000256255	ENST00000361464	ENST00000526033
ENST00000394904	ENST00000311921	ENST00000263635	ENST00000296121	ENST00000371917
ENST00000376088	ENST00000563281	ENST00000371374	ENST00000400556	ENST00000367612
ENST00000205214	ENST00000377636	ENST00000585696	ENST00000592502	ENST00000374525
ENST00000367607	ENST00000356613	ENST00000341460	ENST00000313375	ENST00000393893
ENST00000333213	ENST00000376033	ENST00000382466	ENST00000245787	ENST00000453304
ENST00000368006	ENST00000330062	ENST00000543648	ENST00000336735	ENST00000374358
ENST00000367590	ENST00000355387	ENST00000466284	ENST00000264451	ENST00000533940
ENST00000426972	ENST00000332118	ENST00000361961	ENST00000302345	ENST00000282728
ENST00000304743	ENST00000356198	ENST00000354981	ENST00000316149	ENST00000341928
ENST00000286091	ENST00000394904	ENST00000233099	ENST00000251636	ENST00000258739
ENST00000296088	ENST00000376088	ENST00000241052	ENST00000526033	ENST00000373243
ENST00000381854	ENST00000205214	ENST00000615182	ENST00000371917	ENST00000298097
ENST00000266483	ENST00000367607	ENST00000356709	ENST00000367612	ENST00000407315
ENST00000361283	ENST00000333213	ENST00000338910	ENST00000393893	ENST00000318006
ENST00000257604	ENST00000615331	ENST00000611132	ENST00000453304	ENST00000566860
ENST00000358215	ENST00000368006	ENST00000597436	ENST00000374358	ENST00000518421
ENST00000382758	ENST00000367590	ENST00000296603	ENST00000368440	ENST00000373023
ENST00000627656	ENST00000426972	ENST00000263579	ENST00000533940	ENST00000221957
ENST00000442998	ENST00000304743	ENST00000542965	ENST00000282728	ENST00000239367
ENST00000356924	ENST00000286091	ENST00000299335	ENST00000341928	ENST00000614790
ENST00000276826	ENST00000296088	ENST00000247956	ENST00000258739	ENST00000304858
ENST00000371996	ENST00000381854	ENST00000377710	ENST00000373243	ENST00000334121
ENST00000369682	ENST00000266483	ENST00000261509	ENST00000298097	ENST00000274000
ENST00000370823	ENST00000361283	ENST00000467728	ENST00000407315	ENST00000263275
ENST00000614558	ENST00000257604	ENST00000270142	ENST00000266014	ENST00000380325
ENST00000377698	ENST00000358215	ENST00000243903	ENST00000318006	ENST00000255305
ENST00000393218	ENST00000382758	ENST00000588258	ENST00000566860	ENST00000263073
ENST00000235345	ENST00000627656	ENST00000369244	ENST00000518421	ENST00000366554
ENST00000380502	ENST00000442998	ENST00000361099	ENST00000373023	ENST00000345093
ENST00000379561	ENST00000356924	ENST00000268482	ENST00000221957	ENST00000447998
ENST00000396056	ENST00000276826	ENST00000528416	ENST00000239367	ENST00000361735
ENST00000261647	ENST00000371996	ENST00000395053	ENST00000614790	ENST00000373719
ENST00000595618	ENST00000369682	ENST00000222305	ENST00000304858	ENST00000215832
ENST00000325144	ENST00000370823	ENST00000361717	ENST00000334121	ENST00000261192
ENST00000261439	ENST00000614558	ENST00000302327	ENST00000274000	ENST00000263791
ENST00000303531	ENST00000377698	ENST00000308488	ENST00000263275	ENST00000263985
ENST00000246069	ENST00000393218	ENST00000396634	ENST00000380325	ENST00000570137
ENST00000256257	ENST00000235345	ENST00000296503	ENST00000255305	ENST00000367182
ENST00000221431	ENST00000380502	ENST00000565898	ENST00000263073	ENST00000613030
ENST00000334304	ENST00000379561	ENST00000312423	ENST00000366554	ENST00000357727
ENST00000369026	ENST00000396056	ENST00000292450	ENST00000005178	ENST00000227322
ENST00000502486	ENST00000261647	ENST00000229769	ENST00000345093	ENST00000374012
ENST00000259365	ENST00000595618	ENST00000319349	ENST00000447998	ENST00000254770
ENST00000374680	ENST00000325144	ENST00000329687	ENST00000361735	ENST00000356448
ENST00000258742	ENST00000261439	ENST00000304061	ENST00000373719	ENST00000402418
ENST00000328747	ENST00000303531	ENST00000400900	ENST00000215832	ENST00000370141
ENST00000398063	ENST00000246069	ENST00000309660	ENST00000261192	ENST00000380051
ENST00000526629	ENST00000256257	ENST00000399409	ENST00000263791	ENST00000305188
ENST00000319394	ENST00000620105	ENST00000503039	ENST00000263985	ENST00000361228
ENST00000602063	ENST00000221431	ENST00000359600	ENST00000570137	ENST00000418390
ENST00000301458	ENST00000334304	ENST00000256413	ENST00000367182	ENST00000495186
ENST00000263642	ENST00000369026	ENST00000465139	ENST00000613030	ENST00000309971
ENST00000588649	ENST00000502486	ENST00000409817	ENST00000357727	ENST00000306999
ENST00000284878	ENST00000259365	ENST00000260746	ENST00000227322	ENST00000331268
ENST00000375249	ENST00000374680	ENST00000263593	ENST00000374012	ENST00000315870
ENST00000286298	ENST00000258742	ENST00000340635	ENST00000254770	ENST00000376257
ENST00000266534	ENST00000328747	ENST00000543662	ENST00000356448	ENST00000247226
ENST00000382743	ENST00000398063	ENST00000263960	ENST00000402418	ENST00000216014
ENST00000258530	ENST00000526629	ENST00000394854	ENST00000370141	ENST00000305264
ENST00000343702	ENST00000319394	ENST00000258884	ENST00000380051	ENST00000520220
ENST00000356341	ENST00000602063	ENST00000371485	ENST00000305188	ENST00000252593
ENST00000381668	ENST00000301458	ENST00000215659	ENST00000418390	ENST00000382882
ENST00000303904	ENST00000263642	ENST00000487273	ENST00000495186	ENST00000394236
ENST00000221264	ENST00000588649	ENST00000504329	ENST00000309971	ENST00000379245
ENST00000256255	ENST00000284878	ENST00000317506	ENST00000306999	ENST00000274458
ENST00000263635	ENST00000375249	ENST00000245680	ENST00000331268	ENST00000467317
ENST00000585696	ENST00000286298	ENST00000545985	ENST00000315870	ENST00000369278
ENST00000341460	ENST00000266534	ENST00000378426	ENST00000247226	ENST00000306357
ENST00000382466	ENST00000382743	ENST00000356264	ENST00000305264	ENST00000428304
ENST00000543648	ENST00000258530	ENST00000358677	ENST00000290039	ENST00000283027
ENST00000466284	ENST00000343702	ENST00000370092	ENST00000520220	ENST00000264607
ENST00000361961	ENST00000356341	ENST00000309951	ENST00000382882	ENST00000252486
ENST00000354981	ENST00000381668	ENST00000264039	ENST00000394236	ENST00000585089
ENST00000233099	ENST00000303904	ENST00000395386	ENST00000579534	ENST00000449870
ENST00000241052	ENST00000221264	ENST00000346234	ENST00000379245	ENST00000265081
ENST00000615182	ENST00000256255	ENST00000313368	ENST00000274458	ENST00000264498
ENST00000378679	ENST00000263635	ENST00000286733	ENST00000369278	ENST00000253686
ENST00000356709	ENST00000371374	ENST00000429344	ENST00000306357	ENST00000378526
ENST00000338910	ENST00000585696	ENST00000550735	ENST00000428304	ENST00000332070
